date,open,high,low,close,volume
2008-07-02,116.23,118.78,118.78,118.78,8722700
2008-07-03,120.74,122.07,122.07,122.07,3186300
2008-07-04,123.94,125.55,125.55,125.55,4298300
2008-07-07,125.55,124.78,124.78,124.78,17170300
2008-07-08,124.78,125.13,125.13,125.13,11292100
2008-07-09,125.65,125.92,125.92,125.92,5915100
2008-07-10,127.21,129.16,129.16,129.16,4467900
2008-07-11,130.8,133,133,133,4615200
2008-07-14,134.86,137.27,137.27,137.27,3616900
2008-07-15,139.35,142.83,142.83,142.83,2574800
2008-07-16,145.22,147.74,147.74,147.74,18923500
2008-07-17,147.74,151.04,151.04,151.04,3883400
2008-07-18,153.72,149.68,149.68,149.68,15797000
2008-07-21,152.98,148.28,148.28,148.28,5256600
2008-07-22,148.28,148.29,143.72,145.69,314500
2008-07-23,145.69,145.69,142.13,143.48,4371500
2008-07-24,141.34,144.49,140.74,141.34,12630800
2008-07-25,140.43,142.96,140.39,140.85,4361100
2008-07-28,139.47,144.64,139.16,144.59,9375800
2008-07-29,144.91,146.94,142.96,143.1,7836700
2008-07-30,145.3,146.89,142.32,145.46,9874800
2008-07-31,146.08,145.5,141.37,143.32,6238600
2008-08-01,143.51,143.6,140.02,140.45,5145800
2008-08-04,139.54,140.04,136.49,136.5,4047100
2008-08-05,135.04,136.63,133.51,133.53,3986000
2008-08-06,133.53,134.98,131.3,134.71,11206800
2008-08-07,133.88,135.07,132.21,133.45,8648100
2008-08-08,134.67,135.43,132.85,135.32,6383200
2008-08-11,135.32,137.25,135.96,137.02,2911700
2008-08-12,139.08,140.88,137.29,139.54,11706900
2008-08-13,139.54,142.79,138.03,142.64,9341400
2008-08-14,143.72,146.57,143.51,146.57,8807600
2008-08-15,148.3,151.65,148.08,151.65,2522300
2008-08-18,155.64,159.63,155.5,157.93,9817300
2008-08-19,162.04,163.18,154.36,159.51,16516900
2008-08-20,156.6,158.75,153.15,156.78,13693500
2008-08-21,157.01,164.71,155.46,162.96,11492800
2008-08-22,165.45,168.21,161.14,164.28,10472800
2008-08-25,164.28,173.48,165.75,173.41,7605200
2008-08-26,178.39,184.7,173.74,184.67,6144100
2008-08-27,191.86,196.8,189.31,190.06,19056900
2008-08-28,194.54,194.9,184.72,185.15,19492000
2008-08-29,185.15,192.43,179.24,192.43,17802800
2008-09-03,193.86,196.25,193.1,194.3,6144800
2008-09-04,199.31,202.61,192.52,194.87,14763600
2008-09-05,194.87,197.16,188.86,189.14,15865800
2008-09-08,190.38,190.43,177.57,182.37,22057000
2008-09-09,181.19,185.78,176.04,176.85,15466400
2008-09-10,179.33,181.24,172.76,175.19,12190000
2008-09-11,175.47,175.49,169.02,169.29,8144100
2008-09-12,168.08,169.64,160.21,160.62,5819200
2008-09-15,156.72,166.98,153.07,162.9,18801900
2008-09-16,163.48,163.48,151.11,155.08,8502500
2008-09-17,150.17,154.13,144.4,144.74,7612100
2008-09-18,141.82,141.65,136.05,136.08,3310200
2008-09-19,131.81,145.4,131.81,145.74,11554900
2008-09-22,148.06,150.44,145.91,150.44,2597000
2008-09-23,151.57,156,147.83,152.62,19527000
2008-09-24,152.62,154.34,148.9,151.47,7824000
2008-09-25,150.95,157.79,150.03,157.04,10486100
2008-09-26,162.05,164.01,156.87,160.31,13159700
2008-09-29,156,163.94,155.27,157.98,10530500
2008-09-30,158.4,158.4,147.81,148.55,1762000
2008-10-01,149.23,152.92,145.71,149.7,11075900
2008-10-02,149.63,155.29,149.36,152.96,10180000
2008-10-03,153.07,153.58,149.87,152.02,7489500
2008-10-06,152.09,151,142.76,143.38,8088200
2008-10-07,138.21,138.48,134.87,134.98,6938800
2008-10-08,130.99,129.11,126.43,127.53,9788000
2008-10-09,124.14,132.88,122.48,129.28,13853100
2008-10-10,124.42,125.14,119.76,119.87,7745600
2008-10-13,118.97,123.04,117.54,119.34,6610900
